"NBI_KV"
550.0
95.0
250.0
95.0
110.0
150.0
200.0
250.0
350.0
95.0
110.0
150.0
250.0
350.0
550.0
650.0
650.0
750.0
750.0
900.0
1050.0
1050.0
1300.0
110.0
95.0
110.0
150.0
1550.0
1450.0

